#node1 node2 weight
credit due 24
america need 32
finally trump 24
finally strong 24
president strong 32
impeached puppet 24
distracting puppet 24
american distracting 24
american people 258
kidnapped living 24
living told 24
court told 24
court jury 24
jury trial 24
best congratulation 48
best new 48
new year 64
gift year 48
gift iranian 48
iranian patriot 48
patriot president 48
thank trump 80
bet yes 24
bet want 40
discus want 24
discus security 24
security stability 40
completely stability 24
completely disrupted 24
friend keeping 40
ally friend 40
ally close 40
close see 40
con nancy 24
personal twitter 24
seems twitter 24
like seems 40
like perfectly 24
perfectly professional 24
appropriate professional 24
appropriate place 24
legal place 24
arabia hate 24
hate iran 88
always iran 24
mr please 40
shame trump 24
friend romper 56
romper room 56
racist room 56
dirt ugly 24
forget president 24
crap president 24
crap king 24
dead one 24
dead war 24
comment young 24
write young 24
nice write 24
nice obit 24
stick thanks 24
removing stick 24
removing white 24
active support 24
active military 24
amp military 24
amp participate 24
participate un 24
surprising want 24
impeach want 24
bos tell 24
bos proud 24
proud saving 24
penny saving 24
forthcoming penny 24
forthcoming good 24
good luck 40
luck ohio 24
coming take 72
murphy take 64
murphy stop 64
stop twinkling 64
every twinkling 64
let right 24
get let 40
get right 24
killed right 24
american journalist 120
journalist ok 24
month past 48
force month 48
force revolutionary 48
guard revolutionary 48
guard killed 48
buttering sa 24
proxy sa 24
proxy war 24
blow mind 24
mind people 32
people support 32
guy support 24
accidentally guy 24
accidentally tell 24
country tell 24
army country 24
army withdrawing 24
really scared 24
discus vicious 24
murder vicious 24
american murder 32
american see 32
bombing see 24
bombing top 24
general top 32
bill federal 24
attacked bill 24
attacked nj 24
already nj 24
already going 24
going stand 24
ov stand 24
john sure 24
continuing president 24
bush continuing 24
bush policy 24
middle policy 24
attack missile 56
attack u 57
base u 112
base camp 24
camp taking 24
place taking 40
california fifth 24
fifth largest 24
economy largest 24
economy world 24
state world 24
need state 24
need nonsense 24
map point 16
tweeted yesterday 16
intent tweeted 16
commit intent 16
commit war 80
maybe outsmarting 16
keep president 33
keep kicking 16
ass kicking 16
ass support 16
make support 16
homeless usa 16
problem usa 16
homeless problem 56
homeless migrate 16
area migrate 16
area comfortable 16
mean really 16
bone mean 16
paymaster saw 16
paymaster saudi 16
arabia rewarded 16
demonstrates thing 16
go oh 16
go saudi 32
crime saudi 16
crime family 16
family meet 16
meet syndicate 16
organised syndicate 16
crime organised 16
crime h 16
get still 96
already lie 16
already forever 16
forever known 24
impeached known 24
help status 16
help rico 32
deserved may 16
deserved die 16
die united 16
killing state 16
considered killing 16
act considered 16
act war 40
east mean 40
mean start 16
new start 16
new war 40
become war 16
say senate 16
senate sit 16
nancy sit 16
make nancy 16
make th 16
love republican 16
hate saudi 32
iran love 32
bos say 8
founder never 16
mind never 16
america mind 16
america dictator 8
dictator president 8
president start 40
start war 152
spending war 8
case find 8
find know 8
congress president 8
president wasting 8
energy time 16
energy impeachment 8
impeachment many 8
important many 8
dying people 24
cant dying 8
afford insulin 8
albuterol insulin 8
albuterol lying 8
even wont 8
even give 8
give much 24
consideration much 8
ca consideration 8
ask ca 8
ask take 8
forest take 8
say taking 8
bad taking 8
bad guy 8
guy necessarily 8
good necessarily 8
good idea 24
idea quit 8
looked sure 16
looked presidential 16
presidential today 16
god thankful 8
blessed god 8
blessed great 8
country great 32
president vice 48
impeached president 73
knew president 8
ago knew 8
ago thanks 8
saudi thanks 8
saudi try 8
blow try 8
blow world 8
say stability 8
oh say 8
irony oh 8
heard iranian 8
coming soon 49
general president 16
general get 8
get month 8
jail month 8
one world 8
hate world 8
hate hate 8
hate much 16
much soon 8
respond soon 8
cruelty respond 8
discus moving 8
extradition moving 8
extradition plenty 8
plenty sand 8
pretend sand 8
build pretend 8
build hotel 8
case release 8
document release 40
document let 8
let witness 8
greece maybe 8
maybe wrong 8
suck well 8
order taking 8
murderer order 8
guess saudi 8
coconspirator saudi 8
coconspirator rubbing 8
hand rubbing 8
glee hand 8
glee war 8
mean war 24
help sure 8
come help 16
come stability 8
stability sure 8
dotard wrong 8
dotard moscow 8
already moscow 8
already said 16
dread think 8
dangerous think 8
dangerous mind 8
might mind 8
cook might 8
cook together 8
making thanks 80
hard making 72
decision hard 72
decade made 72
ago decade 72
ago mr 72
nancy truly 8
need truly 8
impeached need 16
dead discus 8
dead people 24
dismembering talk 16
barbaric discus 16
barbaric murder 16
journalist murder 16
founder islam 80
founder warlord 80
prophet warlord 80
hated prophet 80
hated jew 80
christian jew 80
christian source 80
go quietly 16
disability go 16
disability lose 8
lose social 8
security social 144
disability security 8
disability insurance 8
afraid iran 16
afraid reelected 8
failure reelected 8
dude hi 8
dude heard 8
heard wanted 8
fight wanted 8
fight u 8
america u 16
make sell 8
sell weapon 8
ready trump 9
ready war 8
imminent war 8
discus killing 32
child killing 16
child yemen 8
